Hotel,is_canceled,lead_time,Lead_Time_Group,arrival_date_year,arrival_date_month,Month_Number_Final,arrival_date_week_number,arrival_date_day_of_month,Total stay (Week + Weekend),total guests(child + adult + baby),Family Flag,country_name,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,days_in_waiting_list,adr in INR ,required_car_parking_spaces,total_of_special_requests,Revenue
Resort Hotel,1.00,468,180+,2016,5,5,20,12,2,2,Family,Portugal,Groups,TA/TO,0,1,0,0,No Deposit,0,6030,0,0,12060
Resort Hotel,0.00,36,31-90,2016,6,6,24,9,3,3,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,13772.7,1,1,41318.1
City Hotel,1.00,262,180+,2015,11,11,46,9,3,2,Family,Portugal,Groups,TA/TO,0,1,0,0,Non Refund,0,5652,0,0,16956
City Hotel,0.00,50,31-90,2016,4,4,16,12,3,3,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,14782.5,0,2,44347.5
City Hotel,1.00,19,0-30,2015,10,10,41,6,3,1,Family,Portugal,Offline TA/TO,TA/TO,1,1,0,0,Non Refund,0,7200,0,0,21600
City Hotel,0.00,131,91-180,2017,6,6,23,8,3,2,Family,United States,Online TA,TA/TO,0,0,0,0,No Deposit,0,12960,0,1,38880
Resort Hotel,0.00,228,180+,2016,9,9,37,5,21,2,Family,Germany,Direct,Direct,0,0,1,0,No Deposit,0,7920,0,1,166320
City Hotel,1.00,330,180+,2016,6,6,23,2,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,5580,0,0,11160
City Hotel,0.00,164,91-180,2015,10,10,40,2,2,1,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,9000,0,0,18000
City Hotel,0.00,56,31-90,2016,3,3,10,3,4,2,Family,Spain,Groups,Corporate,0,0,0,0,No Deposit,0,6480,0,0,25920
City Hotel,1.00,191,180+,2017,4,4,14,6,5,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,7956,0,0,39780
Resort Hotel,1.00,9,0-30,2016,7,7,27,1,2,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,15210,0,1,30420
City Hotel,0.00,152,91-180,2016,7,7,29,10,4,2,Family,Portugal,Online TA,TA/TO,0,0,0,3,No Deposit,0,12087,0,3,48348
City Hotel,0.00,14,0-30,2015,9,9,36,4,4,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,10170,1,3,40680
Resort Hotel,0.00,236,180+,2016,5,5,20,12,3,2,Family,United Kingdom,Groups,TA/TO,0,0,0,0,No Deposit,0,4860,1,0,14580
City Hotel,0.00,1,0-30,2017,2,2,5,3,3,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,10530,0,1,31590
City Hotel,1.00,316,180+,2017,5,5,19,10,2,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,11097,0,1,22194
City Hotel,0.00,200,180+,2015,10,10,40,2,3,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,8032.5,0,1,24097.5
City Hotel,1.00,277,180+,2016,11,11,46,7,3,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,9000,0,0,27000
City Hotel,0.00,2,0-30,2015,8,8,33,9,1,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,6075,0,2,6075
Resort Hotel,0.00,242,180+,2017,5,5,18,1,14,2,Family,Germany,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,7573.5,0,1,106029
City Hotel,0.00,4,0-30,2016,2,2,7,7,4,1,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,6859.8,1,1,27439.2
City Hotel,1.00,56,31-90,2016,6,6,24,8,1,2,Family,Portugal,Offline TA/TO,Corporate,0,0,0,0,No Deposit,0,10800,0,0,10800
City Hotel,1.00,118,91-180,2017,6,6,23,10,1,2,Family,Sweden,Online TA,TA/TO,0,0,0,0,No Deposit,0,14400,0,0,14400
Resort Hotel,0.00,207,180+,2016,10,10,41,4,6,2,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,0,6300,0,0,37800
City Hotel,0.00,110,91-180,2017,4,4,15,10,3,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,8910,0,1,26730
Resort Hotel,0.00,0,0-30,2015,11,11,45,4,2,1,Family,Portugal,Online TA,TA/TO,0,0,0,1,No Deposit,0,3969,0,1,7938
Resort Hotel,0.00,143,91-180,2017,3,3,10,5,7,2,Family,Germany,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,4716,0,0,33012
City Hotel,0.00,2,0-30,2015,12,12,50,11,1,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,8460,1,0,8460
City Hotel,0.00,100,91-180,2017,8,8,31,1,7,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,11250,0,0,78750
City Hotel,1.00,92,91-180,2015,7,7,27,1,6,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,6885,0,2,41310
Resort Hotel,1.00,78,31-90,2015,10,10,41,9,3,2,Family,Spain,Groups,TA/TO,0,0,0,0,Non Refund,0,8280,0,0,24840
City Hotel,0.00,133,91-180,2017,7,7,27,7,3,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,9639,0,2,28917
Resort Hotel,1.00,199,180+,2016,5,5,19,2,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,7650,0,0,15300
City Hotel,1.00,2,0-30,2016,11,11,45,2,2,1,Family,Portugal,Aviation,Corporate,0,0,0,0,No Deposit,0,8460,0,0,16920
City Hotel,0.00,5,0-30,2016,11,11,46,6,5,2,Family,United States,Online TA,TA/TO,0,0,0,0,No Deposit,0,9601.2,0,1,48006
City Hotel,1.00,153,91-180,2015,8,8,32,3,3,2,Family,Portugal,Groups,TA/TO,0,1,0,0,Non Refund,0,5400,0,0,16200
City Hotel,0.00,54,31-90,2016,2,2,7,8,5,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,6835.5,0,1,34177.5
Resort Hotel,0.00,10,0-30,2017,2,2,7,12,1,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,4320,0,1,4320
Resort Hotel,1.00,23,0-30,2016,8,8,32,4,3,3,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,24543,0,0,73629
City Hotel,0.00,235,180+,2016,8,8,32,6,2,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,9477,1,2,18954
City Hotel,1.00,185,180+,2017,5,5,19,12,5,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,10287,0,0,51435
City Hotel,1.00,229,180+,2017,7,7,28,12,5,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,9900,0,0,49500
Resort Hotel,0.00,1,0-30,2016,8,8,33,11,1,1,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,13410,0,0,13410
Resort Hotel,0.00,81,31-90,2016,4,4,15,3,5,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,4698,0,1,23490
City Hotel,0.00,91,91-180,2017,4,4,14,2,4,2,Family,Germany,Online TA,TA/TO,0,0,0,2,No Deposit,0,10530,0,4,42120
Resort Hotel,0.00,120,91-180,2015,8,8,32,4,7,2,Family,France,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,8185.5,0,1,57298.5
City Hotel,1.00,391,180+,2016,8,8,32,4,1,1,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,5310,0,0,5310
City Hotel,0.00,71,31-90,2017,7,7,27,7,3,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,13500,0,1,40500
Resort Hotel,0.00,7,0-30,2017,3,3,9,2,4,1,Family,United Kingdom,Groups,Corporate,0,0,0,1,No Deposit,0,2610,0,0,10440
City Hotel,1.00,169,91-180,2017,6,6,23,8,3,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,0,15300,0,0,45900
City Hotel,0.00,0,0-30,2017,7,7,27,2,1,2,Family,Portugal,Direct,Direct,0,0,0,1,No Deposit,0,8820,0,0,8820
Resort Hotel,0.00,0,0-30,2017,5,5,18,5,2,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,7200,0,0,14400
Resort Hotel,1.00,219,180+,2016,3,3,10,2,7,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,0,4680,0,0,32760
City Hotel,1.00,288,180+,2016,5,5,19,5,3,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,236,5850,0,0,17550
City Hotel,0.00,97,91-180,2016,8,8,32,5,3,3,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,13527,0,1,40581
City Hotel,0.00,142,91-180,2016,5,5,19,6,3,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,10287,0,0,30861
Resort Hotel,1.00,320,180+,2017,7,7,27,4,3,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,8404.2,0,0,25212.6
City Hotel,1.00,129,91-180,2017,6,6,22,2,3,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,11700,0,0,35100
Resort Hotel,1.00,275,180+,2015,10,10,41,4,2,2,Family,Portugal,Offline TA/TO,TA/TO,0,26,0,0,Non Refund,0,4500,0,0,9000
City Hotel,0.00,152,91-180,2016,7,7,29,11,2,2,Family,Portugal,Online TA,TA/TO,0,0,0,2,No Deposit,0,8910,0,2,17820
Resort Hotel,0.00,43,31-90,2017,6,6,24,11,7,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,12600,0,1,88200
City Hotel,0.00,107,91-180,2016,6,6,24,10,2,1,Family,Spain,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,0,10800,0,0,21600
Resort Hotel,0.00,11,0-30,2015,12,12,50,6,2,2,Family,Spain,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,3330,0,0,6660
City Hotel,1.00,46,31-90,2017,3,3,10,6,7,2,Family,Portugal,Online TA,TA/TO,0,0,0,2,No Deposit,0,9027,0,0,63189
City Hotel,1.00,2,0-30,2015,11,11,46,9,11,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,8622.9,0,0,94851.9
City Hotel,0.00,9,0-30,2017,2,2,6,8,4,2,Family,France,Direct,Direct,0,0,0,1,No Deposit,0,8199,0,0,32796
City Hotel,1.00,23,0-30,2016,2,2,7,12,3,2,Family,Netherlands,Online TA,TA/TO,0,0,0,0,No Deposit,0,6552,0,0,19656
City Hotel,0.00,4,0-30,2017,4,4,15,12,3,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,14100.3,0,2,42300.9
City Hotel,1.00,84,31-90,2017,5,5,19,12,2,3,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,17010,0,0,34020
City Hotel,1.00,32,31-90,2016,11,11,46,11,2,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,11700,0,1,23400
City Hotel,0.00,73,31-90,2016,7,7,29,12,1,2,Family,Unknown,Direct,Direct,0,0,0,0,No Deposit,0,9450,0,1,9450
Resort Hotel,1.00,55,31-90,2016,10,10,41,3,9,1,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,8010,0,2,72090
City Hotel,0.00,130,91-180,2016,9,9,36,3,3,2,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,7267.5,0,0,21802.5
City Hotel,0.00,25,0-30,2017,1,1,1,6,2,2,Family,United Kingdom,Direct,Direct,0,0,0,0,No Deposit,0,17820,0,0,35640
City Hotel,0.00,248,180+,2017,4,4,15,9,2,2,Family,Germany,Groups,TA/TO,0,0,0,0,No Deposit,0,7200,0,1,14400
City Hotel,1.00,233,180+,2015,11,11,45,7,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,5400,0,0,10800
City Hotel,0.00,183,180+,2016,9,9,37,8,3,2,Family,France,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,9900,0,1,29700
City Hotel,1.00,355,180+,2015,10,10,41,7,2,2,Family,Portugal,Groups,TA/TO,0,1,0,0,Non Refund,0,5580,0,0,11160
City Hotel,0.00,61,31-90,2017,1,1,2,8,5,2,Family,Germany,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,6480,0,0,32400
City Hotel,0.00,181,180+,2016,10,10,42,11,2,1,Family,France,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,10800,0,0,21600
City Hotel,0.00,19,0-30,2017,5,5,19,12,7,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,16586.1,0,1,116102.7
City Hotel,1.00,37,31-90,2016,7,7,27,1,1,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,11826,0,0,11826
City Hotel,1.00,330,180+,2015,9,9,37,12,3,2,Family,Portugal,Groups,TA/TO,0,1,0,0,No Deposit,0,5652,0,0,16956
City Hotel,0.00,151,91-180,2016,7,7,28,4,1,4,Family,Unknown,Direct,Direct,0,0,0,0,No Deposit,0,15471,0,0,15471
Resort Hotel,1.00,6,0-30,2015,12,12,50,6,2,2,Family,Portugal,Online TA,TA/TO,0,1,0,0,No Deposit,0,4896,0,0,9792
City Hotel,1.00,153,91-180,2017,7,7,28,9,1,2,Family,United States,Online TA,TA/TO,0,0,0,0,No Deposit,0,8019,0,0,8019
City Hotel,0.00,69,31-90,2017,4,4,14,7,2,3,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,14580,0,1,29160
City Hotel,1.00,77,31-90,2015,8,8,32,3,17,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,6885,0,0,117045
City Hotel,0.00,72,31-90,2016,6,6,23,1,3,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,9729.9,0,0,29189.7
Resort Hotel,1.00,256,180+,2015,8,8,31,1,9,4,Family,Portugal,Online TA,TA/TO,0,1,0,1,No Deposit,0,17910,0,1,161190
Resort Hotel,0.00,109,91-180,2015,7,7,27,4,8,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,11070,0,1,88560
City Hotel,0.00,13,0-30,2015,10,10,41,6,3,2,Family,France,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,6750,0,1,20250
City Hotel,1.00,265,180+,2015,7,7,28,9,2,2,Family,Portugal,Groups,TA/TO,0,1,0,0,No Deposit,0,5580,0,0,11160
City Hotel,1.00,105,91-180,2016,4,4,15,6,1,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,0,6750,0,0,6750
City Hotel,0.00,29,0-30,2016,12,12,49,2,2,1,Family,Germany,Corporate,TA/TO,0,0,0,4,No Deposit,0,5956.2,0,1,11912.4
City Hotel,1.00,82,31-90,2017,3,3,10,5,6,2,Family,United States,Online TA,TA/TO,0,0,0,0,No Deposit,0,8262,0,0,49572
Resort Hotel,1.00,86,31-90,2017,3,3,10,9,3,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,4140,0,0,12420
City Hotel,0.00,247,180+,2016,6,6,24,6,2,2,Family,Germany,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,10350,0,1,20700
City Hotel,0.00,23,0-30,2016,1,1,1,2,3,2,Family,Unknown,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,9810,0,0,29430
Resort Hotel,1.00,238,180+,2017,2,2,6,10,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,4860,0,0,9720
City Hotel,1.00,47,31-90,2016,4,4,16,12,1,1,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,8991,0,0,8991
Resort Hotel,1.00,349,180+,2016,8,8,32,4,5,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,11286,0,3,56430
Resort Hotel,0.00,0,0-30,2017,4,4,14,8,1,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,9900,0,0,9900
Resort Hotel,0.00,3,0-30,2015,10,10,41,9,3,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,7499.7,0,2,22499.1
City Hotel,0.00,183,180+,2017,1,1,1,1,6,4,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,13815,1,1,82890
City Hotel,1.00,174,91-180,2015,10,10,41,10,2,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,0,6300,0,0,12600
City Hotel,0.00,34,31-90,2016,11,11,46,7,3,1,Family,Germany,Online TA,GDS,0,0,0,0,No Deposit,0,15228,0,0,45684
Resort Hotel,1.00,139,91-180,2016,4,4,15,4,2,3,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,8460,0,1,16920
City Hotel,0.00,14,0-30,2016,7,7,27,2,5,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,13590,0,2,67950
Resort Hotel,1.00,237,180+,2017,5,5,18,3,1,2,Family,Unknown,Online TA,TA/TO,0,0,0,2,No Deposit,0,9882,0,0,9882
City Hotel,1.00,52,31-90,2017,1,1,1,6,4,2,Family,Unknown,Online TA,TA/TO,1,1,1,0,No Deposit,0,7956,0,2,31824
City Hotel,1.00,47,31-90,2017,7,7,27,3,4,3,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,21105,0,1,84420
Resort Hotel,0.00,199,180+,2016,5,5,19,2,2,2,Family,Germany,Groups,TA/TO,0,0,0,0,No Deposit,0,7650,0,0,15300
City Hotel,0.00,99,91-180,2017,6,6,23,9,1,1,Family,Brazil,Online TA,TA/TO,0,0,0,0,No Deposit,0,13154.4,0,0,13154.4
City Hotel,0.00,246,180+,2017,7,7,28,10,1,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,9639,0,1,9639
City Hotel,1.00,97,91-180,2017,7,7,28,11,3,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,13500,0,2,40500
Resort Hotel,0.00,54,31-90,2015,9,9,36,5,7,2,Family,Unknown,Direct,Direct,0,0,0,0,No Deposit,0,8820,0,2,61740
City Hotel,1.00,179,91-180,2016,9,9,36,2,7,2,Family,Spain,Online TA,TA/TO,0,0,0,3,No Deposit,0,10890.9,0,0,76236.3
Resort Hotel,0.00,0,0-30,2017,1,1,2,9,1,2,Family,United States,Online TA,TA/TO,1,0,0,0,No Deposit,0,2789.1,0,0,2789.1
Resort Hotel,1.00,80,31-90,2015,8,8,31,1,10,4,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,15210,0,1,152100
Resort Hotel,1.00,57,31-90,2017,3,3,10,11,7,1,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,4590,0,0,32130
City Hotel,1.00,69,31-90,2016,6,6,25,12,6,1,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,0,10800,0,0,64800
City Hotel,0.00,50,31-90,2016,12,12,50,4,4,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,7956,0,0,31824
City Hotel,0.00,23,0-30,2017,8,8,31,3,4,2,Family,Unknown,Online TA,TA/TO,0,0,0,1,No Deposit,0,13230,0,1,52920
City Hotel,0.00,103,91-180,2016,11,11,46,7,4,1,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,16852.5,0,2,67410
Resort Hotel,0.00,10,0-30,2016,3,3,11,11,4,2,Family,Unknown,Online TA,TA/TO,0,0,0,2,No Deposit,0,6075,0,1,24300
City Hotel,0.00,21,0-30,2015,9,9,36,3,2,2,Family,Sweden,Online TA,TA/TO,0,0,0,0,No Deposit,0,9450,0,0,18900
Resort Hotel,0.00,156,91-180,2017,5,5,19,8,7,2,Family,Unknown,Groups,TA/TO,0,0,0,2,No Deposit,0,7200,0,1,50400
City Hotel,0.00,0,0-30,2015,10,10,42,12,3,1,Family,Portugal,Corporate,Corporate,0,0,0,0,No Deposit,0,5850,0,0,17550
Resort Hotel,0.00,33,31-90,2017,6,6,23,10,1,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,10620,1,2,10620
City Hotel,1.00,462,180+,2017,7,7,26,1,3,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,10140.3,0,1,30420.9
City Hotel,1.00,330,180+,2015,9,9,37,12,4,2,Family,Portugal,Groups,TA/TO,0,1,0,0,No Deposit,0,5580,0,0,22320
Resort Hotel,0.00,109,91-180,2016,3,3,11,7,4,2,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,2475,0,1,9900
City Hotel,1.00,221,180+,2016,6,6,24,10,3,2,Family,Portugal,Offline TA/TO,TA/TO,0,1,0,0,Non Refund,15,7200,0,0,21600
Resort Hotel,0.00,207,180+,2016,8,8,33,12,3,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,13680,1,0,41040
Resort Hotel,0.00,10,0-30,2016,10,10,42,9,2,2,Family,United Kingdom,Groups,Corporate,0,0,0,0,No Deposit,0,4950,0,0,9900
Resort Hotel,1.00,11,0-30,2015,12,12,49,5,3,2,Family,Portugal,Offline TA/TO,TA/TO,0,1,0,0,No Deposit,0,5760,0,0,17280
Resort Hotel,0.00,107,91-180,2015,7,7,27,2,7,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,9963,0,2,69741
City Hotel,1.00,177,91-180,2017,7,7,27,3,2,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,8019,0,0,16038
Resort Hotel,0.00,44,31-90,2016,4,4,15,6,4,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,7470,0,2,29880
